,source,target,numVisited,pathLength,uniqueVisited,performance
828,1580034527.0,1580035160.0,16,11,16,0.3125
829,1580034884.0,1580034896.0,3,3,3,0.0
830,1580034920.0,1580035065.0,63,12,40,0.8095238095238095
831,1580034884.0,1580035137.0,9,6,8,0.33333333333333337
832,1580035031.0,1580035688.0,6,4,6,0.33333333333333337
833,1580034886.0,1580035175.0,12,4,10,0.6666666666666667
834,444336009.0,1580035137.0,11,8,10,0.2727272727272727
835,1580034744.0,1580035160.0,15,10,15,0.33333333333333337
836,444336009.0,1580035198.0,42,15,33,0.6428571428571428
837,1580034817.0,1580035021.0,15,11,14,0.2666666666666667
838,1580034920.0,1580034964.0,2,2,2,0.0
839,1344566973.0,1580034896.0,10,4,9,0.6
840,1580035042.0,1580035350.0,9,5,9,0.4444444444444444
841,1580034913.0,1580034918.0,19,8,18,0.5789473684210527
842,1580035021.0,6051095781.0,21,9,21,0.5714285714285714
843,1344566974.0,1580035284.0,15,6,15,0.6
844,1580034884.0,1580034913.0,7,4,6,0.4285714285714286
845,1580034744.0,1580034994.0,23,13,22,0.4347826086956522
846,1580034888.0,1580035061.0,34,10,30,0.7058823529411764
847,1580034875.0,1580035137.0,10,7,10,0.30000000000000004
848,1580034994.0,1580035350.0,6,4,5,0.33333333333333337
849,1580035240.0,1580035688.0,2,2,2,0.0
850,1344566973.0,1344566974.0,9,6,7,0.33333333333333337
851,1344566966.0,1580034744.0,29,10,27,0.6551724137931034
852,1580035061.0,1580035688.0,15,8,13,0.4666666666666667
853,1580035175.0,1580035688.0,6,3,5,0.5
854,1580034748.0,1580034886.0,7,4,5,0.4285714285714286
855,444336013.0,1580035240.0,12,8,12,0.33333333333333337
856,1580034817.0,1580034896.0,10,6,9,0.4
857,1580034737.0,1580035198.0,47,14,28,0.7021276595744681
858,1580034879.0,1580034888.0,2,2,2,0.0
859,1580034964.0,3994361363.0,18,5,17,0.7222222222222222
860,1580034875.0,1580034945.0,61,14,34,0.7704918032786885
861,1580034994.0,1580035031.0,6,4,5,0.33333333333333337
862,1580034899.0,1580035688.0,14,10,14,0.2857142857142857
863,444336014.0,1580034884.0,19,9,18,0.5263157894736843
864,1580034694.0,1580034879.0,3,3,3,0.0
865,1344566969.0,1580034964.0,22,5,18,0.7727272727272727
866,1580034888.0,1580034918.0,8,6,7,0.25
867,1580034737.0,1580034879.0,4,4,4,0.0
868,1580034737.0,1580035021.0,14,10,13,0.2857142857142857
869,1344566973.0,1580034905.0,2,2,2,0.0
870,1344566973.0,1580034886.0,4,4,4,0.0
871,1580034817.0,3249304308.0,111,15,45,0.8648648648648649
872,444336009.0,3994361361.0,36,7,25,0.8055555555555556
873,1580035350.0,3249304308.0,63,8,44,0.873015873015873
874,1580034918.0,1580035284.0,29,7,27,0.7586206896551724
875,1580034920.0,1580035042.0,26,8,22,0.6923076923076923
876,1580035160.0,1580035688.0,6,3,5,0.5
877,1580034527.0,1580034899.0,58,13,36,0.7758620689655172
878,1580034773.0,1580034886.0,8,4,6,0.5
879,1344566969.0,1580034744.0,8,7,8,0.125
880,1580034773.0,1580035061.0,42,12,30,0.7142857142857143
881,1580034744.0,1580034773.0,10,4,9,0.6
882,1344566973.0,1580034879.0,21,5,18,0.7619047619047619
883,1580034896.0,3994361361.0,28,5,24,0.8214285714285714
884,1344566973.0,3249304308.0,111,12,46,0.8918918918918919
885,1580034899.0,1580035065.0,2,2,2,0.0
886,444336013.0,3994361361.0,13,4,13,0.6923076923076923
887,1580034694.0,1580034967.0,10,6,10,0.4
888,1344566969.0,1580034875.0,19,10,18,0.4736842105263158
889,1580034964.0,6051095781.0,60,11,36,0.8166666666666667
890,1580034879.0,1580034920.0,14,8,14,0.4285714285714286
891,1580034817.0,1580034899.0,58,14,39,0.7586206896551724
892,1580034913.0,3994361363.0,19,9,18,0.5263157894736843
893,1580034744.0,1580034899.0,58,12,36,0.7931034482758621
894,1580035061.0,1580035137.0,14,9,12,0.3571428571428571
895,1580034920.0,6051095781.0,50,12,38,0.76
896,1580035061.0,6051095782.0,64,5,40,0.921875
897,444336009.0,1580034964.0,27,6,21,0.7777777777777778
898,1580035042.0,3249304311.0,63,6,39,0.9047619047619048
899,1580034875.0,3994361361.0,36,6,24,0.8333333333333334
900,1580034886.0,1580034945.0,40,13,34,0.675
901,1580034900.0,1580035350.0,17,10,17,0.4117647058823529
902,1580034875.0,1580035350.0,18,11,17,0.38888888888888884
903,1580034920.0,1580035061.0,42,7,37,0.8333333333333334
904,1344566973.0,1580034900.0,9,3,8,0.6666666666666667
905,1580034945.0,1580035042.0,3,3,3,0.0
906,444336009.0,6051095781.0,62,12,38,0.8064516129032258
907,1344566973.0,1580035728.0,10,5,9,0.5
908,1580034884.0,1580035198.0,38,12,28,0.6842105263157895
909,1580034896.0,1580035065.0,68,14,40,0.7941176470588236
910,1580034900.0,3249304311.0,92,11,41,0.8804347826086957
911,444336013.0,1580035061.0,15,3,15,0.8
912,1580035688.0,3994361361.0,26,6,20,0.7692307692307692
913,3249304308.0,6051095781.0,2,2,2,0.0
914,1580034527.0,3249304308.0,101,15,45,0.8514851485148515
915,1344566969.0,1580034896.0,13,6,13,0.5384615384615384
916,1580035160.0,1580035175.0,2,2,2,0.0
917,1580034527.0,6051095781.0,54,14,38,0.7407407407407407
918,1580034817.0,1580034994.0,20,9,19,0.55
919,1580034744.0,1580035284.0,32,14,29,0.5625
920,444336013.0,1580034879.0,24,9,21,0.625
921,1344566974.0,1580034900.0,4,4,4,0.0
922,1580035240.0,3249304308.0,89,9,47,0.898876404494382
923,1580034884.0,1580034918.0,8,7,7,0.125
924,1580034886.0,1580034994.0,16,8,15,0.5
925,1580034913.0,1580035042.0,27,5,22,0.8148148148148149
926,1580034883.0,1580035284.0,34,10,29,0.7058823529411764
927,1580035065.0,3249304308.0,62,4,42,0.935483870967742
928,1344566974.0,1580034920.0,3,3,3,0.0
929,1580034888.0,1580035021.0,9,9,9,0.0
930,1580034694.0,1580034899.0,53,14,38,0.7358490566037736
931,1580035042.0,1580035061.0,2,2,2,0.0
932,444336013.0,1580034744.0,33,15,30,0.5454545454545454
933,1580035137.0,3249304308.0,109,14,48,0.8715596330275229
934,1580034773.0,1580034896.0,13,5,9,0.6153846153846154
935,444336009.0,444336014.0,67,8,34,0.8805970149253731
936,1580035061.0,1580035728.0,27,11,24,0.5925925925925926
937,1580034899.0,1580035240.0,15,10,14,0.33333333333333337
938,1344566969.0,1580034920.0,14,6,13,0.5714285714285714
939,1580034964.0,1580034994.0,10,5,10,0.5
940,1580035350.0,1580035728.0,7,4,7,0.4285714285714286
941,1580035728.0,6051095782.0,75,11,46,0.8533333333333333
942,1344566974.0,1580034527.0,13,7,13,0.46153846153846156
943,1580034883.0,1580034964.0,35,5,21,0.8571428571428572
944,1344566969.0,3994361363.0,21,7,19,0.6666666666666667
945,444336013.0,1580034884.0,19,10,19,0.4736842105263158
946,1580034886.0,1580035240.0,22,8,19,0.6363636363636364
947,1344566974.0,3249304311.0,82,8,40,0.9024390243902439
948,1580035021.0,3249304309.0,53,8,40,0.8490566037735849
949,1344566969.0,1580035065.0,65,9,40,0.8615384615384616
950,1580034527.0,1580035042.0,36,16,31,0.5555555555555556
951,1580034918.0,6051095782.0,71,15,46,0.7887323943661972
952,1580034945.0,3249304309.0,6,4,5,0.33333333333333337
953,1580034527.0,3994361363.0,23,12,22,0.4782608695652174
954,1580034817.0,1580035042.0,50,11,32,0.78
955,1344566974.0,1580035728.0,19,10,18,0.4736842105263158
956,444336014.0,1580034900.0,21,9,20,0.5714285714285714
957,444336013.0,1580034875.0,18,14,18,0.2222222222222222
958,1580034875.0,1580035065.0,80,16,40,0.8
959,1580034964.0,3249304311.0,80,9,41,0.8875
960,1344566966.0,1580034875.0,17,9,16,0.47058823529411764
961,1580034913.0,1580035160.0,10,8,10,0.19999999999999996
962,1580034737.0,1580034886.0,6,3,5,0.5
963,1580034913.0,6051095781.0,51,9,38,0.8235294117647058
964,1580034896.0,1580035688.0,19,11,18,0.42105263157894735
965,1580034884.0,3994361361.0,33,7,24,0.7878787878787878
966,1580034884.0,1580034920.0,6,3,5,0.5
967,1580034875.0,1580034886.0,9,8,9,0.11111111111111116
968,1580034694.0,1580035031.0,23,7,16,0.6956521739130435
969,1580035688.0,1580035728.0,2,2,2,0.0
970,1580034883.0,1580034896.0,7,4,7,0.4285714285714286
971,1580034905.0,6051095781.0,47,12,38,0.7446808510638299
972,1580034748.0,1580034964.0,31,7,24,0.7741935483870968
973,1580034945.0,3994361363.0,15,6,14,0.6
974,1580034773.0,6051095782.0,83,14,43,0.8313253012048193
975,1344566973.0,1580034967.0,2,2,2,0.0
976,1580034694.0,1580034744.0,6,5,6,0.16666666666666663
977,1580034879.0,3249304311.0,69,11,41,0.8405797101449275
978,1580035137.0,1580035350.0,8,5,8,0.375
979,1580035175.0,3994361361.0,26,5,20,0.8076923076923077
980,1580034884.0,3994361363.0,19,8,16,0.5789473684210527
981,1580034694.0,3249304308.0,74,16,45,0.7837837837837838
982,1580034527.0,1580034967.0,17,11,16,0.3529411764705882
